Date,Dataset,Method,Topic #,Top Words,LLM Label,Processing Time (s)
5/2/25 13:29,Drug_Review_dataset_cleaned.csv,LDA,1,"pain, day, took, hours, days, night, like, felt, sleep, just",Sleep and Recovery Experiences,84.29
5/2/25 13:29,Drug_Review_dataset_cleaned.csv,LDA,2,"day, started, weight, taking, lost, effects, eat, week, days, just",Weight Loss Journey,84.29
5/2/25 13:29,Drug_Review_dataset_cleaned.csv,LDA,3,"skin, acne, using, face, months, years, ve, use, started, used",Skincare Routine and Acne Management,84.29
5/2/25 13:29,Drug_Review_dataset_cleaned.csv,LDA,4,"period, pill, ve, months, control, weight, birth, month, got, days",Birth Control and Menstrual Cycle,84.29
5/2/25 13:29,Drug_Review_dataset_cleaned.csv,LDA,5,"years, taking, anxiety, effects, day, life, feel, medication, started, like",Mental Health and Medication Effects Over Time,84.29
5/2/25 13:32,Drug_Review_dataset_cleaned.csv,LDA,1,"took, night, day, hours, sleep, pill, like, days, felt, time",Sleep Patterns and Effects,87.29
5/2/25 13:32,Drug_Review_dataset_cleaned.csv,LDA,2,"weight, lost, started, day, eat, taking, week, pounds, effects, lbs",Weight Loss Journey,87.29
5/2/25 13:32,Drug_Review_dataset_cleaned.csv,LDA,3,"acne, skin, months, face, ve, pill, started, using, years, month","""Long-term Acne Treatment Experience""",87.29
5/2/25 13:32,Drug_Review_dataset_cleaned.csv,LDA,4,"period, ve, months, pill, control, birth, got, month, weight, bleeding",Birth Control and Menstrual Health,87.29
5/2/25 13:32,Drug_Review_dataset_cleaned.csv,LDA,5,"anxiety, taking, years, life, feel, effects, day, medication, depression, like",Mental Health and Medication Effects,87.29
5/2/25 13:32,Drug_Review_dataset_cleaned.csv,LDA,6,"pain, day, years, doctor, taking, days, severe, effects, relief, medicine",Chronic Pain Management and Treatment,87.29
5/2/25 13:32,Drug_Review_dataset_cleaned.csv,LDA,7,"day, effects, use, infection, days, time, works, years, taking, medicine",Medication Usage and Effects Over Time,87.29
5/2/25 13:35,Drug_Review_dataset_cleaned.csv,LDA,1,"sleep, night, pill, hours, took, morning, like, day, taking, work",Sleep and Rest Habits,84.28
5/2/25 13:35,Drug_Review_dataset_cleaned.csv,LDA,2,"weight, lost, started, day, eat, week, pounds, taking, lbs, effects",Weight Loss Journey,84.28
5/2/25 13:35,Drug_Review_dataset_cleaned.csv,LDA,3,"acne, skin, months, face, ve, started, using, pill, month, years",Acne Treatment and Skincare Timeline,84.28
5/2/25 13:35,Drug_Review_dataset_cleaned.csv,LDA,4,"period, ve, pill, months, birth, control, got, days, month, bleeding",Menstrual Cycle and Birth Control,84.28
5/2/25 13:35,Drug_Review_dataset_cleaned.csv,LDA,5,"anxiety, taking, feel, effects, depression, life, years, day, like, medication",Mental Health and Medication Effects,84.28
5/2/25 13:35,Drug_Review_dataset_cleaned.csv,LDA,6,"day, days, stomach, diarrhea, felt, took, better, ve, taking, pain",Gastrointestinal Health and Remedies,84.28
5/2/25 13:35,Drug_Review_dataset_cleaned.csv,LDA,7,"day, infection, effects, days, use, works, used, like, burning, just","""Health and Treatment Effects""",84.28
5/2/25 13:35,Drug_Review_dataset_cleaned.csv,LDA,8,"blood, pressure, years, effects, taking, drug, medication, heart, doctor, days",Hypertension Management and Treatment,84.28
5/2/25 13:35,Drug_Review_dataset_cleaned.csv,LDA,9,"took, just, like, water, time, did, started, went, taste, drink",Beverage Experience and Consumption,84.28
5/2/25 13:35,Drug_Review_dataset_cleaned.csv,LDA,10,"pain, years, day, taking, life, doctor, effects, just, medicine, relief",Chronic Pain Management and Treatment,84.28
5/2/25 13:38,Drug_Review_dataset_cleaned.csv,LDA,1,"sleep, night, hours, asleep, wake, morning, work, bed, taking, like","""Sleep and Wake Cycle""",86.29
5/2/25 13:38,Drug_Review_dataset_cleaned.csv,LDA,2,"migraines, quit, migraine, years, day, smoking, chantix, tried, smoke, just",Smoking cessation and migraines,86.29
5/2/25 13:38,Drug_Review_dataset_cleaned.csv,LDA,3,"skin, acne, face, using, months, ve, started, clear, just, years","""Skincare Journey and Acne Treatment""",86.29
5/2/25 13:38,Drug_Review_dataset_cleaned.csv,LDA,4,"period, ve, months, control, birth, pill, weight, month, periods, bleeding",Birth Control and Menstrual Health,86.29
5/2/25 13:39,Drug_Review_dataset_cleaned.csv,LDA,5,"anxiety, feel, depression, taking, effects, life, like, years, day, medication",Mental Health and Medication Effects,86.29
5/2/25 13:39,Drug_Review_dataset_cleaned.csv,LDA,6,"itching, burning, ve, like, tried, just, used, yeast, treatment, infection","The topic could be labeled as ""Symptoms and Treatment of Yeast Infection.""",86.29
5/2/25 13:39,Drug_Review_dataset_cleaned.csv,LDA,7,"effects, works, use, insurance, using, years, used, great, medication, dry",Healthcare and Medication Usage,86.29
5/2/25 13:39,Drug_Review_dataset_cleaned.csv,LDA,8,"blood, medication, effects, pressure, drug, feet, cold, swelling, days, rash","""Side Effects and Symptoms of Medication""",86.29
5/2/25 13:39,Drug_Review_dataset_cleaned.csv,LDA,9,"years, doctor, old, year, life, just, started, school, said, medication",Childhood Development and Healthcare,86.29
5/2/25 13:39,Drug_Review_dataset_cleaned.csv,LDA,10,"pain, day, years, taking, doctor, life, effects, relief, severe, medication",Chronic Pain Management and Treatment,86.29
5/2/25 13:39,Drug_Review_dataset_cleaned.csv,LDA,11,"period, pill, days, sex, day, took, got, just, cramps, insertion",Reproductive Health and Contraception,86.29
5/2/25 13:39,Drug_Review_dataset_cleaned.csv,LDA,12,"day, took, days, like, taking, nausea, stomach, felt, bad, feel","""Experiencing Health Issues""",86.29
5/2/25 13:39,Drug_Review_dataset_cleaned.csv,LDA,13,"weight, lost, started, pounds, eat, week, taking, lbs, effects, weeks",Weight Loss Journey,86.29
5/2/25 13:39,Drug_Review_dataset_cleaned.csv,LDA,14,"years, pain, bowel, months, constipation, injection, life, weeks, diagnosed, cancer",Chronic Illness and Cancer Diagnosis,86.29
5/2/25 13:39,Drug_Review_dataset_cleaned.csv,LDA,15,"day, years, heart, mg, blood, pressure, taking, doctor, life, hot",Hypertension and Cardiovascular Health,86.29
5/2/25 13:43,Patient Feedback Comments - 2.csv,LDA,1,"like, feel, pain, feels, head, stomach, ache, hurts, vision, blurry","The topic could be labeled as ""Physical Discomfort and Symptoms.""",3.28
5/2/25 13:43,Patient Feedback Comments - 2.csv,LDA,2,"pain, neck, feel, hurts, really, sharp, knee, ear, cold, day",Physical discomfort or pain symptoms.,3.28
5/2/25 13:43,Patient Feedback Comments - 2.csv,LDA,3,"shoulder, feel, like, wound, pain, dizzy, skin, arm, won, think",Medical Symptoms and Injuries,3.28
5/2/25 13:43,Patient Feedback Comments - 2.csv,LDA,4,"hair, like, feel, just, face, acne, body, weak, skin, feels",Skincare and Personal Well-being,3.28
5/2/25 13:43,Patient Feedback Comments - 2.csv,LDA,5,"pain, feel, lot, time, ve, hard, painful, morning, heart, joint",Chronic Pain and Emotional Struggles,3.28
5/2/25 13:47,Patient Feedback Comments - 2.csv,LDA,1,"pain, head, feel, stomach, like, vision, blurry, ache, hurts, eat",Physical discomfort or symptoms,2.99
5/2/25 13:47,Patient Feedback Comments - 2.csv,LDA,2,"pain, neck, sharp, feel, really, hurts, stiff, lower, ear, baby",Neck and Back Pain Symptoms,2.99
5/2/25 13:47,Patient Feedback Comments - 2.csv,LDA,3,"shoulder, feel, like, pain, heavy, arm, dizzy, stand, breathe, skin",Symptoms of a Possible Health Issue,2.99
5/2/25 13:47,Patient Feedback Comments - 2.csv,LDA,4,"hair, feel, face, like, acne, skin, really, falling, just, pimples",Skincare and Hair Concerns,2.99
5/2/25 13:47,Patient Feedback Comments - 2.csv,LDA,5,"pain, feel, painful, time, bad, morning, hard, joint, muscle, ve",Musculoskeletal Discomfort and Pain Management,2.99
5/2/25 13:47,Patient Feedback Comments - 2.csv,LDA,6,"cold, wound, body, think, feel, cut, infected, feeling, weak, stop","The topic of these words could be labeled as ""Physical Injury and Recovery.""",2.99
5/2/25 13:47,Patient Feedback Comments - 2.csv,LDA,7,"like, pain, feels, hurts, feel, walk, knee, foot, lot, ache",Joint or Musculoskeletal Pain,2.99
5/2/25 13:49,Patient Feedback Comments - 2.csv,LDA,1,"stomach, vision, blurry, pain, night, playing, feel, like, got, swollen",Possible symptoms of an eye or vision-related condition.,2.84
5/2/25 13:49,Patient Feedback Comments - 2.csv,LDA,2,"neck, pain, feel, really, stiff, feeling, breathe, doing, sharp, hard","The label ""Neck Pain and Discomfort"" would be a suitable descriptive topic for the given words.",2.84
5/2/25 13:49,Patient Feedback Comments - 2.csv,LDA,3,"feel, like, skin, dizzy, don, stand, going, just, know, breath","The label ""Physical Sensations and Awareness"" would be fitting for this topic, as the words are related to bodily experiences and consciousness.",2.84
5/2/25 13:49,Patient Feedback Comments - 2.csv,LDA,4,"hair, feel, like, falling, just, skin, really, time, fall, cough","The topic could be labeled as ""Health and Physical Sensations.""",2.84
5/2/25 13:49,Patient Feedback Comments - 2.csv,LDA,5,"ve, hard, feel, time, morning, heart, pain, having, tired, bad",Emotional Struggles and Fatigue,2.84
5/2/25 13:49,Patient Feedback Comments - 2.csv,LDA,6,"body, feel, cold, weak, feeling, think, ache, feels, day, time",Health and Wellness Symptoms,2.84
5/2/25 13:49,Patient Feedback Comments - 2.csv,LDA,7,"like, pain, hurts, feel, feels, knee, walk, lot, inside, foot",Joint Pain and Discomfort,2.84
5/2/25 13:49,Patient Feedback Comments - 2.csv,LDA,8,"pain, like, head, feel, hurts, feels, sharp, heart, stand, shoulder",Physical discomfort or pain sensations.,2.84
5/2/25 13:49,Patient Feedback Comments - 2.csv,LDA,9,"face, acne, ear, pimples, getting, really, frustrating, skin, painful, baby","""Skin Issues and Acne Concerns""",2.84
5/2/25 13:49,Patient Feedback Comments - 2.csv,LDA,10,"pain, wound, shoulder, feel, like, cut, infected, open, foot, arm",Injury and Physical Trauma,2.84
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,1,"vision, blurry, like, feel, breathe, chest, properly, injured, eyes, night",Eye Injury Symptoms and Breathing Issues,2.78
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,2,"neck, stiff, hurts, feels, really, pain, sports, turn, like, feel","""Neck Pain and Stiffness""",2.78
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,3,"shoulder, try, heavy, like, dizzy, start, feel, hurts, light, quickly",Physical sensations and movement.,2.78
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,4,"hair, falling, like, just, need, distressing, feel, sore, really, treatment",Hair Loss and Treatment Concerns,2.78
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,5,"hard, ve, time, morning, lower, hurt, having, got, really, bad","""Challenging Mornings""",2.78
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,6,"body, feel, weak, cold, feels, day, hard, like, heavy, warm",Physical Sensations and Conditions,2.78
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,7,"like, walk, foot, feels, lot, hurts, knee, feel, energy, ache",Physical discomfort or pain in movement,2.78
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,8,"head, like, feel, hurts, heart, pain, know, feels, don, sad",Emotional and Physical Pain,2.78
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,9,"acne, getting, baby, worse, ear, said, skin, normal, face, infection","""Facial Skin Concerns and Infections""",2.78
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,10,"wound, infected, cut, skin, red, looks, open, bleeding, got, itchy","""Symptoms of a Skin Injury or Infection""",2.78
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,11,"away, face, just, won, cough, annoying, pimples, sleep, throat, makes","""Common Cold Symptoms and Effects""",2.78
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,12,"like, feels, swollen, knees, breath, knee, ear, bend, anymore, stairs",Joint and Respiratory Health Concerns,2.78
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,13,"pain, feel, stomach, feeling, cold, stand, like, dizzy, hurting, constant","""Physical Discomfort and Sensations""",2.78
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,14,"feel, like, pain, hurts, really, inside, stand, burning, spinning, dizzy",Emotional and Physical Distress,2.78
5/2/25 13:50,Patient Feedback Comments - 2.csv,LDA,15,"pain, feel, sharp, shoulder, joint, really, like, muscle, heart, great",Pain and Physical Sensations,2.78
5/2/25 13:56,Tech Company Employee Review - Sheet1.csv,LDA,1,"work, great, benefits, hours, pay, good, time, people, apple, working","The words provided seem to revolve around a workplace or job-related theme, focusing on aspects such as the quality of the work environment, compensation, and overall job satisfaction. A suitable descriptive label for this topic could be ""Job Satisfaction and Workplace Environment.""",97.78
5/2/25 13:56,Tech Company Employee Review - Sheet1.csv,LDA,2,"work, time, amazon, job, don, like, just, day, employees, pay",Workplace and Employment Dynamics,97.78
5/2/25 13:56,Tech Company Employee Review - Sheet1.csv,LDA,3,"work, good, life, great, balance, benefits, environment, company, salary, culture","""Workplace Quality and Employee Satisfaction""",97.78
5/2/25 13:56,Tech Company Employee Review - Sheet1.csv,LDA,4,"company, management, people, good, free, like, culture, employees, food, microsoft",Corporate Culture at Microsoft,97.78
5/2/25 13:56,Tech Company Employee Review - Sheet1.csv,LDA,5,"work, people, company, great, lot, smart, working, amazon, team, things",**Workplace Environment and Culture**,97.78
5/2/25 13:59,Tech Company Employee Review - Sheet1.csv,LDA,1,"work, great, hours, benefits, pay, time, good, apple, people, job","""Work Environment and Compensation""",96.88
5/2/25 13:59,Tech Company Employee Review - Sheet1.csv,LDA,2,"work, time, amazon, job, don, day, like, just, people, employees","""Work Environment and Employment""",96.88
5/2/25 13:59,Tech Company Employee Review - Sheet1.csv,LDA,3,"good, management, work, managers, level, employees, pay, manager, salary, benefits",Employee Compensation and Management,96.88
5/2/25 13:59,Tech Company Employee Review - Sheet1.csv,LDA,4,"free, food, like, people, management, good, äôs, äôt, company, employees","""Company Culture and Employee Satisfaction""",96.88
